Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:40:41.703],3.53,21.17,4.03,85.22,977
[00:40:42.026],3.50,20.97,5.87,123.09,978
[00:40:42.430],3.50,21.03,5.25,110.35,978
[00:40:42.633],3.52,21.09,4.61,97.21,978
[00:40:43.035],3.53,21.18,3.77,79.74,979
[00:40:43.642],3.55,21.27,2.79,59.38,979
[00:40:44.449],3.56,21.35,2.16,46.19,980
[00:40:46.299],3.55,21.31,2.65,56.55,981
[00:40:46.670],3.54,21.24,3.19,67.69,981
[00:40:46.871],3.55,21.30,2.58,54.99,981
[00:40:48.082],3.54,21.25,3.16,67.21,982
[00:40:48.688],3.53,21.18,3.78,79.96,983
[00:40:49.494],3.54,21.23,3.24,68.74,984
[00:40:50.597],3.54,21.23,3.23,68.51,985
[00:40:51.665],3.53,21.21,3.37,71.42,986
[00:40:52.122],3.52,21.12,4.20,88.59,986
[00:40:52.724],3.53,21.17,3.67,77.69,987
[00:40:52.927],3.52,21.10,4.33,91.44,987
[00:40:53.130],3.54,21.22,3.15,66.81,987
[00:40:53.534],3.52,21.12,4.06,85.85,988
[00:40:54.140],3.54,21.24,2.78,58.97,988
[00:40:54.338],3.54,21.24,3.43,58.97,988
[00:40:54.545],3.52,21.12,4.06,85.84,989
[00:40:55.350],3.50,21.01,5.12,107.47,990
[00:40:55.552],3.47,20.83,6.76,140.69,990
[00:40:55.958],3.51,21.04,4.62,97.13,991
[00:40:56.155],3.51,21.04,4.11,97.13,991
[00:40:56.763],3.54,21.25,2.57,54.51,992
[00:40:57.168],3.53,21.17,3.38,71.64,992
[00:40:57.370],3.52,21.11,4.00,84.49,992
[00:40:57.573],3.53,21.19,3.25,68.84,992
[00:40:57.770],3.53,21.19,2.22,47.27,992
[00:40:58.176],3.54,21.21,3.14,66.62,993
[00:40:58.379],3.52,21.13,3.75,79.28,993
[00:40:58.581],3.54,21.23,2.87,60.88,993
[00:40:59.386],3.53,21.16,3.45,73.07,994
[00:40:59.588],3.54,21.24,2.70,57.35,994
[00:40:59.791],3.53,21.17,3.43,72.66,994
[00:40:59.993],3.52,21.10,4.00,84.49,994
[00:41:00.902],3.52,21.10,4.04,85.16,995
[00:41:01.799],3.52,21.12,3.75,79.29,996
[00:41:02.690],3.51,21.08,4.16,87.79,997
[00:41:03.564],3.52,21.09,3.93,82.87,998
[00:41:04.438],3.51,21.08,4.03,84.99,999
[00:41:05.276],3.51,21.08,4.04,85.13,1000
[00:41:05.846],3.48,20.88,5.97,124.58,1001
[00:41:06.251],3.49,20.95,5.28,110.62,1002
[00:41:06.454],3.50,21.01,4.64,97.44,1002
[00:41:06.859],3.49,20.95,5.23,109.49,1003
[00:41:07.056],3.49,20.95,3.59,109.49,1003
[00:41:07.259],3.54,21.23,2.50,53.10,1003
[00:41:07.664],3.52,21.10,3.77,79.51,1003
[00:41:08.271],3.53,21.17,3.00,63.42,1004
[00:41:08.474],3.51,21.07,4.02,84.73,1004
[00:41:08.671],3.51,21.07,3.24,68.51,1004
[00:41:08.874],3.51,21.06,4.18,87.95,1005
[00:41:09.076],3.53,21.18,2.95,62.34,1005
[00:41:09.279],3.51,21.08,3.93,82.74,1005
[00:41:09.482],3.53,21.16,3.22,68.00,1005
[00:41:09.684],3.51,21.07,3.97,83.55,1005
[00:41:09.887],3.53,21.17,2.99,63.31,1005
[00:41:10.083],3.53,21.17,3.86,63.31,1006
[00:41:10.287],3.52,21.14,3.27,69.08,1006
[00:41:10.488],3.51,21.07,3.96,83.44,1006
[00:41:10.691],3.53,21.17,3.07,64.89,1006
[00:41:10.895],3.51,21.09,3.81,80.34,1006
[00:41:11.098],3.53,21.15,3.18,67.25,1007
[00:41:11.295],3.53,21.15,3.96,67.25,1007
[00:41:11.498],3.53,21.16,3.15,66.54,1007
[00:41:11.700],3.51,21.03,4.38,92.10,1007
[00:41:11.904],3.52,21.15,3.16,66.75,1008
[00:41:12.107],3.51,21.07,3.95,83.23,1008
[00:41:12.304],3.51,21.07,3.21,83.23,1008
[00:41:12.507],3.51,21.05,4.12,86.60,1008
